designation,rf_prob,rf_pred,nn_prob,nn_pred,iso_score,iso_pred,iso_prob,cluster,distance_to_center,composite_score,weighted_score,rank,ra,dec,w1mpro,w2mpro,w1_w2_color
J145727.27+501835.4,0.0003333333333333333,0,0.006135970228409258,0,0.11887439275593015,1,0.3928373838263811,7,120.93795517568289,0.13310222912937456,0.1141352440156544,714.0,,,,,
J045427.17+455407.9,0.0,0,1.0360088465907642e-09,0,0.11670277815005081,1,0.3991097077060987,4,420.14451002355975,0.1330365695807025,0.11403134535488788,715.0,,,,,
J014715.86+314054.0,0.00016666666666666666,0,0.0011285161189611918,0,0.11741457333179872,1,0.3970538134862597,6,322.8891250704093,0.13278299875729585,0.11383780845863453,716.0,,,,,
J163249.96-154314.4,0.002852380952380952,0,0.0010976182466028864,0,0.118862254990169,1,0.3928724416114153,2,136.38003401547823,0.13227414693679973,0.1137853232247399,717.0,,,,,
J055416.44-245514.3,0.0004,0,3.4683280283618965e-09,0,0.1172413321745368,1,0.3975541898627594,4,430.2185229120361,0.13265139777702914,0.11375834095173927,718.0,,,,,
J225640.99+582652.7,0.018572254379607318,0,0.002775564650579725,0,0.12773538488459757,1,0.3672439786355347,6,270.02783150723974,0.12953059922190727,0.11367940710157869,719.0,,,,,
J011028.52+632932.1,0.03244659392894686,0,1.0731560766610083e-11,0,0.13403770130875597,1,0.3490408547028799,9,178.7968287807908,0.12716248288085277,0.11363164160200907,720.0,,,,,
J061825.18+161945.4,0.0002,0,0.00017118645131786859,0,0.11743817643877552,1,0.39698564009530657,8,185.6252749676081,0.13245227551554148,0.11355909329903556,721.0,,,,,
J001455.41-274913.5,0.0010151515151515151,0,5.601050594413411e-06,0,0.11790970326752681,1,0.3956237184265643,9,221.69031996231138,0.1322148236641034,0.11347201335711028,722.0,,,,,
J183719.77-535940.7,0.041064574314574304,0,0.0002477487581644153,0,0.13882231150164792,1,0.3352213562123251,5,144.9144444156207,0.12551122642835458,0.11344741898352884,723.0,,,,,
J033208.55+582049.8,0.008912251637251638,0,0.0004530258945461004,0,0.1222073265291781,1,0.3832107953705555,7,120.70287928708423,0.1308586909674511,0.11343777106313688,724.0,,,,,
J201420.17-074202.1,0.0005818181818181818,0,9.568702302723322e-12,0,0.11780001146752506,1,0.3959405437484688,5,520.891032912759,0.13217412064661857,0.11337522029450423,725.0,,,,,
J121528.94-480606.4,0.0009166666666666666,0,0.00031246304693436733,0,0.11808996766905533,1,0.3951030566538404,7,125.21111690883254,0.13211072878914712,0.11336871991450706,726.0,,,,,
J053608.98-474847.6,0.0,0,0.00014969571001375432,0,0.11764300659632476,1,0.39639402449049155,6,407.630206062978,0.1321812400668351,0.11329820577157294,727.0,,,,,
J084628.42-424629.3,0.05879282004545166,0,0.0024634203422000847,0,0.1490056033147228,1,0.3058087227550094,8,212.21160458681197,0.12235498771422039,0.11327467804725343,728.0,,,,,
J065646.95-020137.4,0.00660981240981241,0,1.7993506132313996e-05,0,0.12108196472170607,1,0.3864612034858899,3,256.0276092869668,0.13102966980061156,0.11325540445906881,729.0,,,,,
J085137.69-454449.0,0.07613299478299482,0,0.009439016508073836,0,0.1605252223821712,1,0.272536344881704,3,166.49995283710192,0.11936945205759088,0.11319281530407717,730.0,,,,,
J143013.83-265736.5,0.0,0,1.114534272988217e-06,0,0.11780018309595708,1,0.3959400480301633,5,115.47318928115821,0.13198038752147875,0.11312604644698179,731.0,,,,,
J104611.51+024351.6,0.0,0,5.475652854676735e-13,0,0.1178281469330591,1,0.3958592794431642,9,225.84427697177304,0.1319530931479039,0.11310265126963193,732.0,,,,,
J102658.89-503459.7,0.0887985230455819,0,0.0010647552363407622,0,0.16444155176112407,1,0.26122472162316596,0,231.38979850109698,0.11702933330169622,0.1129963604079656,733.0,,,,,
