rank,designation,ra_value,dec_value,w1mpro_value,w2mpro_value,w1_w2_color,pm_total,ml_ensemble_score,if_score
407,J173002.90-712451.8,262.5120898,-71.4143912,15.676,13.272,2.404,389.1734831665693,0.2644353269784065,-0.0071400095653215145
408,J004702.81+423348.7,11.7617337,42.5635311,15.755,13.381,2.3740000000000006,193.05180651835403,0.2639508728025653,-0.007334282146145954
409,J235306.75-204435.2,358.2781257,-20.7431319,16.345,14.072,2.2729999999999997,331.3608305156178,0.26378137477418384,-0.007402253114424107
410,J025952.27-442109.7,44.9678097,-44.3527185,15.366,13.056,2.3100000000000005,28.0178514522438,0.2637627272538988,-0.007409731018573562
411,J171143.58+625722.5,257.9316074,62.9562721,16.974,14.81,2.1639999999999997,55.31726674375732,0.2636556402945507,-0.007452674316418162
412,J164159.64-024417.6,250.4985278,-2.7382272,14.889,12.436,2.4529999999999994,366.0191251833707,0.26294606335049847,-0.007737224127502329
413,J003734.19+402230.2,9.392497,40.375082,16.987,15.186,1.8009999999999984,634.2247235798995,0.26265839475454267,-0.00785258306823483
414,J150418.68-134111.1,226.0778639,-13.686441,15.697,13.359,2.337999999999999,796.4929378217989,0.2622929519010285,-0.007999130522744369
415,J000739.69-794401.5,1.9153793,-79.7337599,12.891,11.342,1.5489999999999995,215.62931155109686,0.2621236232439594,-0.008067033570869075
416,J161044.86+403849.4,242.6869213,40.6470787,15.649,13.279,2.369999999999999,303.37105992497044,0.2609198034228263,-0.008549781362428621
417,J124333.60+562333.5,190.8900229,56.3926495,16.78,15.082,1.6980000000000004,746.0630000207757,0.26077945152745974,-0.008606064342937814
418,J193155.70+373243.3,292.9820878,37.5453844,16.639,14.416,2.222999999999999,663.1779550015215,0.26076172332520436,-0.008613173588305656
419,J055200.07-552216.2,88.0003251,-55.3711776,14.376,12.834,1.5419999999999998,82.49242389456137,0.25963896008293375,-0.009063416611501784
420,J224141.56-440026.6,340.4232003,-44.0074115,16.758,14.417,2.3409999999999993,303.40237309553135,0.25931923953292824,-0.009191628812964037
421,J160022.82+504601.0,240.0950866,50.7669628,17.123,15.055,2.0680000000000014,414.16542588680676,0.25907788224586487,-0.009288416301640678
422,J152951.62+080333.6,232.4651021,8.0593605,16.279,13.862,2.417,359.4885255470611,0.25886610567660284,-0.009373341528257306
423,J085011.95+452501.1,132.5497992,45.4169736,14.995,12.478,2.5169999999999995,517.0348150753487,0.2586462421582655,-0.009461509729227768
424,J153924.93+563053.3,234.8538929,56.5148274,17.205,15.072,2.132999999999999,634.3878939576322,0.2585305615900999,-0.009507899178735013
425,J174258.06+543510.7,265.7419284,54.586307,14.118,12.388,1.7300000000000004,237.43841306747314,0.25726744793415657,-0.01001442458826135
426,J162813.17+542709.3,247.0548976,54.4525902,17.211,15.024,2.1869999999999994,386.6846260197061,0.2571315009557416,-0.010068941138368703
427,J155258.48+003636.8,238.243707,0.6102399,16.348,14.082,2.2659999999999982,248.0020161208372,0.25696550428397014,-0.01013550801598373
428,J143345.03-172448.5,218.4376474,-17.4134925,16.18,14.538,1.6419999999999995,745.5233061413976,0.2566170846621341,-0.010275228927722035
